Años de Experiencia,Nivel Educativo,Habilidades,Apto
5,Licenciatura,Python,Apto
3,Máster,Java,No Apto
8,Doctorado,JavaScript,Apto
2,Licenciatura,C++,No Apto
10,Máster,Python,Apto
7,Doctorado,JavaScript,Apto
1,Licenciatura,Java,No Apto
4,Doctorado,C++,Apto
6,Máster,Python,No Apto
9,Licenciatura,Java,Apto
11,Licenciatura,JavaScript,Apto
3,Doctorado,C++,No Apto
12,Máster,Python,Apto
5,Licenciatura,Java,No Apto
7,Doctorado,JavaScript,No Apto
4,Máster,C++,Apto
6,Licenciatura,Python,No Apto
2,Doctorado,Java,Apto
8,Máster,JavaScript,No Apto
9,Licenciatura,C++,Apto
10,Licenciatura,Python,No Apto
5,Máster,Java,Apto
11,Doctorado,JavaScript,No Apto
3,Licenciatura,C++,Apto
4,Máster,Python,No Apto
6,Licenciatura,Java,Apto
7,Máster,JavaScript,No Apto
5,Doctorado,Python,Apto
10,Máster,C++,Apto
8,Licenciatura,JavaScript,No Apto
9,Doctorado,Java,Apto
4,Licenciatura,Python,No Apto
7,Licenciatura,C++,Apto
6,Doctorado,Java,No Apto
12,Licenciatura,JavaScript,Apto
5,Doctorado,Python,No Apto
3,Máster,C++,Apto
9,Máster,Java,No Apto
6,Licenciatura,Python,Apto
10,Doctorado,JavaScript,No Apto
8,Máster,C++,Apto
3,Licenciatura,Java,Apto
7,Doctorado,Python,No Apto
4,Máster,JavaScript,Apto
11,Licenciatura,C++,No Apto
6,Máster,Python,Apto
5,Doctorado,JavaScript,No Apto
3,Licenciatura,Java,Apto
9,Máster,Python,No Apto
8,Doctorado,C++,Apto
5,Licenciatura,JavaScript,No Apto
4,Licenciatura,Python,Apto
6,Máster,Java,No Apto
7,Doctorado,JavaScript,Apto
3,Licenciatura,C++,No Apto
9,Máster,Python,Apto
5,Doctorado,JavaScript,Apto
8,Licenciatura,Java,Apto
2,Doctorado,C++,No Apto
10,Máster,JavaScript,Apto
6,Licenciatura,C++,No Apto
7,Doctorado,Python,Apto
4,Máster,Java,Apto
3,Licenciatura,JavaScript,No Apto
8,Doctorado,Python,Apto
9,Licenciatura,Java,Apto
12,Máster,Java,No Apto
10,Doctorado,Java,Apto
5,Licenciatura,JavaScript,Apto
6,Licenciatura,Java,Apto
4,Máster,Python,Apto
11,Doctorado,JavaScript,No Apto
7,Licenciatura,C++,Apto
9,Máster,Python,Apto
3,Doctorado,Java,Apto
8,Licenciatura,JavaScript,Apto
5,Máster,Java,Apto
12,Licenciatura,Java,Apto
4,Máster,C++,No Apto
7,Doctorado,Java,Apto
6,Licenciatura,Python,Apto
10,Máster,JavaScript,No Apto
3,Licenciatura,C++,Apto
5,Doctorado,Python,Apto
9,Licenciatura,JavaScript,Apto
8,Máster,C++,No Apto
11,Doctorado,Python,Apto
6,Licenciatura,JavaScript,Apto
4,Máster,Java,No Apto
10,Doctorado,C++,Apto
3,Licenciatura,Java,Apto
5,Máster,Python,Apto
12,Doctorado,Java,Apto
8,Licenciatura,C++,No Apto
6,Licenciatura,Java,Apto
7,Máster,JavaScript,Apto
4,Licenciatura,C++,No Apto
5,Doctorado,Java,Apto
6,Licenciatura,Python,Apto
3,Doctorado,JavaScript,Apto
9,Licenciatura,Python,Apto
7,Máster,Java,Apto
5,Doctorado,C++,No Apto


